page,route_header,source,destination,total_stations,intermediate_stations
426,42 Dunaújváros — Pusztaszabolcs[— Budapest],Dunaújváros,Budapest,3,['Pusztaszabolcs[']
426,42 Dunaújváros — Pusztaszabolcs[— Budapest],Dunaújváros,Budapest,3,['Pusztaszabolcs[']
427,43 Dunaújváros — Rétszilas[— Simontornya],Dunaújváros,Simontornya,3,['Rétszilas[']
429,43 Dunaújváros — Rétszilas[— Simontornya],Dunaújváros,Simontornya,3,['Rétszilas[']
431,44 Pusztaszabolcs — Börgönd — Székesfehérvár,Pusztaszabolcs,Székesfehérvár,3,['Börgönd']
431,44 Székesfehérvár — Börgönd — Pusztaszabolcs,Székesfehérvár,Pusztaszabolcs,3,['Börgönd']
432,45 Székesfehérvár — Sárbogárd,Székesfehérvár,Sárbogárd,2,[]
432,46 Sárbogárd — Baja,Sárbogárd,Baja,2,[]
433,45 Székesfehérvár — Sárbogárd,Székesfehérvár,Sárbogárd,2,[]
433,46 Sárbogárd — Baja,Sárbogárd,Baja,2,[]
434,45 Sárbogárd — Székesfehérvár,Sárbogárd,Székesfehérvár,2,[]
434,46 Baja — Sárbogárd,Baja,Sárbogárd,2,[]
435,45 Sárbogárd — Székesfehérvár,Sárbogárd,Székesfehérvár,2,[]
435,46 Baja — Sárbogárd,Baja,Sárbogárd,2,[]
436,47 Dombóvár — Komló,Dombóvár,Komló,2,[]
437,47 Komló — Dombóvár,Komló,Dombóvár,2,[]
438,50 Dombóvár — Bátaszék[— Baja],Dombóvár,Baja,3,['Bátaszék[']
442,60 Pécs — Nagykanizsa[— Szombathely],Pécs,Szombathely,3,['Nagykanizsa[']
443,60 Pécs — Nagykanizsa[— Szombathely],Pécs,Szombathely,3,['Nagykanizsa[']
444,61 Szentlőrinc — Sellye,Szentlőrinc,Sellye,2,[]
445,61 Sellye — Szentlőrinc,Sellye,Szentlőrinc,2,[]
446,65 Pécs — Villány — Magyarbóly[— Beli Manastir],Pécs,Beli Manastir,4,"['Villány', 'Magyarbóly[']"
446,66 Villány — Mohács,Villány,Mohács,2,[]
447,65 Pécs — Villány — Magyarbóly[— Beli Manastir],Pécs,Beli Manastir,4,"['Villány', 'Magyarbóly[']"
447,66 Villány — Mohács,Villány,Mohács,2,[]
448,66 Mohács — Villány,Mohács,Villány,2,[]
449,66 Mohács — Villány,Mohács,Villány,2,[]
457,"|Szob - Budapest-KelenföldÈ. }Közlekedik: IX.1 - IX.26-ig», IX.27-tőlª. ~ÓBerlin – Budapest.ÓVarsó – Budapest.ÓPrága – Budapest.",Szob,Budapest,4,"['Budapest.ÓVarsó', 'Budapest.ÓPrága']"
462,71 Budapest — Vácrátót — Vác,Budapest,Vác,3,['Vácrátót']
