id,name,city,country,operator,source,latitude,longitude
wd_Q102243074,Agárdytelep megállóhely,Izsák,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.819361111,19.385611111
wd_Q22054870,Ajak megállóhely,Ajak,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,48.185516,22.046444
wd_Q21876831,Ajka vasútállomás,Ajka,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.105952777,17.573044444
wd_Q22116497,Ajka-Gyártelep megállóhely,Ajka,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.0968,17.555316666
wd_Q61268570,Akadémiaújtelep megállóhely,Budapest XVII. kerülete,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.485833333,19.222777777
wd_Q21867991,Alagimajor megállóhely,Dunakeszi,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.601815,19.153961
wd_Q22132508,Alap megállóhely,Alap,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.832038888,18.6574
wd_Q3096082,Albertfalva megállóhely,Budapest XI. kerülete,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.4407924,19.0339592
wd_Q21921442,Albertirsa vasútállomás,Albertirsa,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.239999,19.606813
wd_Q30308617,Aldebrő megállóhely,Aldebrő,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.784321,20.22429
wd_Q22044058,Algyő vasútállomás,Algyő,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.335497,20.195954
wd_Q22040989,Almár megállóhely,Eger,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.954923,20.357738
wd_Q22039034,Almás megállóhely,Bácsalmás,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.116201,19.328559
wd_Q21876919,Almásfüzitő felső vasútállomás,Almásfüzitő,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.731329,18.217001
wd_Q21876917,Almásfüzitő vasútállomás,Almásfüzitő,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.725301,18.262004
wd_Q22073969,Alsóboldva megállóhely,Boldva,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,48.212608333,20.792202777
wd_Q21877047,Alsóbélatelep megállóhely,Fonyód,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.724244444,17.516341666
wd_Q21876905,Alsógalla megállóhely,Tatabánya,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.563365,18.424538
wd_Q22117175,Alsógyenes megállóhely,Gyenesdiás,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.765944444,17.276638888
wd_Q21866909,Alsógöd megállóhely,Göd,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.677952,19.134706
wd_Q116978573,Alsómajsa megállóhely,,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.609294,18.401447
wd_Q22086729,Alsóméntelek megállóhely,Kecskemét,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.961638888,19.579008333
wd_Q22117532,Alsónemesapáti megállóhely,Alsónemesapáti,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.854247222,16.936411111
wd_Q21997993,Alsónyék megállóhely,Alsónyék,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.199353,18.738207
wd_Q21888109,Alsórönök vasútállomás,Rönök,Hungary,Győr–Sopron–Ebenfurti Vasút,Wikidata,46.96426,16.378158
wd_Q22091776,Alsóörs vasútállomás,Alsóörs,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.985211111,17.975905555
wd_Q22059265,Alsóúrrét megállóhely,Kecskemét,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.898542,19.779728
wd_Q22227195,Ambrózfalva megállóhely,Ambrózfalva,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.35305,20.740580555
wd_Q22121912,Andocs megállóhely,Andocs,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.647333333,17.892194444
wd_Q22039493,Andornaktálya megállóhely,Andornaktálya,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.852351,20.40216
wd_Q22115854,Andráshida vasútállomás,Andráshida,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.862580555,16.779361111
wd_Q3095635,Angyalföld vasútállomás,Budapest XIII. kerülete,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.55,19.0892
wd_Q25835899,Angyalisziget,Szigetszentmárton,Hungary,MÁV-HÉV Helyiérdekű Vasút Zrt.,Wikidata,47.199909,18.944957
wd_Q22054780,Apafa vasútállomás,Debrecen,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.584035,21.655774
wd_Q22056064,Apagy megállóhely,Apagy,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.95385,21.939064
wd_Q22071308,Apc-Zagyvaszántó vasútállomás,Apc,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.791280555,19.668138888
wd_Q102243671,Apostag vasútállomás,Apostag,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.886416666,18.97775
wd_Q22227154,Apátfalva vasútállomás,Apátfalva,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.175163888,20.580552777
wd_Q16010730,Aquincum,Budapest III. kerülete,Hungary,MÁV-HÉV Helyiérdekű Vasút Zrt.,Wikidata,47.56811,19.048536
wd_Q3095658,Aquincum megállóhely,Budapest III. kerülete,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.5661788,19.0480768
wd_Q22077097,Aradványpuszta megállóhely,Nyíradony,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.662855555,21.842711111
wd_Q2525170,Arany János utca,Budapest,Hungary,,Wikidata,47.503055555,19.054444444
